ID,Form_ID,Form,Cognateset_ID,Doubt,Cognate_Detection_Method,Source,Alignment,Alignment_Method,Alignment_Source,Comment
1,Badga-I-1,na,I-B,false,expert,,,,,"high quality lookalike, Verkerk"
2,Betta_Kurumba-I-1,na:ʋə,I-B,false,expert,,,,,"reasonable lookalike (need an explanation for the ending), Dunn"
3,Brahui-I-1,i:,I-B,false,expert,BurrowEmeneau1961[468],,,,"5160, "
4,Gondi-I-1,nanna,I-B,false,expert,BurrowEmeneau1961[468],,,,"5160, "
5,Kannada-I-1,na:nu,I-B,false,expert,BurrowEmeneau1961[468],,,,"no. 5160 Form in DED is: Ka. ān (obl. en-), nān (obl. nan-)., "
6,Kodava-I-1,na:nə,I-B,false,expert,BurrowEmeneau1961[468],,,,"no. 5160 Form in DED is: Koḍ. na·nï, na· (obl. en-, nan-, na·-)., "
7,Kolami-I-1,ne:nu,I-B,false,expert,,,,,"Based on similarity with Telugu : ne:nu, Kolipakam"
8,Kota-I-1,a:n,I-B,false,expert,BurrowEmeneau1961[468],,,,"3160, "
9,Koya-I-1,nanna,I-B,false,expert,,,,,"high quality lookalike, Verkerk"
10,Kurukh-I-1,ae:n,I-B,false,expert,BurrowEmeneau1961[468],,,,"5160, "
11,Kuwi-I-1,na:nu,I-B,false,expert,BurrowEmeneau1961[468],,,,"no.5160, "
12,Kuwi-I-2,mu,I-B,false,expert,BurrowEmeneau1961[468],,,,"3160, "
13,Malayalam-I-1,ɲa:n,I-B,false,expert,BurrowEmeneau1961[468],,,,"no. 5160, "
14,Malto-I-1,he:nu,I-B,false,expert,BurrowEmeneau1961[468],,,,"no. 5160, "
15,Ollari_Gadba-I-1,a:n,I-B,false,expert,BurrowEmeneau1961[468],,,,"5160, "
16,Parji-I-1,ān,I-B,false,expert,Andronov1964;BurrowEmeneau1961[468],,,,"; no. 5160, "
17,Tamil-I-1,na:n,I-B,false,expert,BurrowEmeneau1961[468],,,,"no. 5160, "
18,Telugu-I-1,ne:nu,I-B,false,expert,BurrowEmeneau1961[468],,,,"no. 5160, "
19,Toda-I-1,o:n,I-B,false,expert,BurrowEmeneau1961[468],,,,"no. 5160, "
20,Tulu-I-1,ja:nu,I-B,false,expert,BurrowEmeneau1961[468],,,,"no. 5160, "
21,Yeruva-I-1,na:n,I-B,false,expert,,,,,"high quality lookalike, Verkerk"
22,Badga-all-1,ella,all-A,false,expert,,,,,"high quality look-alike, Verkerk"
23,Kannada-all-1,ella,all-A,false,expert,Andronov1964;BurrowEmeneau1961[DED844],,,,"; DED844, "
24,Kodava-all-1,ella,all-A,false,expert,BurrowEmeneau1961[DED844],,,,"DED844, "
